Accession ID	Virus name	Host	Virus lineage
DQ811787	PRCV ISU-1	Sus scrofa	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Tegacovirus; Alphacoronavirus 1; Transmissible gastroenteritis virus; Porcine respiratory coronavirus
DQ848678	Feline coronavirus	Felis catus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Tegacovirus; Alphacoronavirus 1
DQ915164	Bovine coronavirus isolate Alpaca	Vicugna pacos	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Betacoronavirus 1; Bovine coronavirus
EF065505	Bat coronavirus HKU4-1	Chiroptera	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Merbecovirus; Tylonycteris bat coronavirus HKU4
EF065506	Bat coronavirus HKU4-2	Chiroptera	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Merbecovirus; Tylonycteris bat coronavirus HKU4
EF065507	Bat coronavirus HKU4-3	Chiroptera	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Merbecovirus; Tylonycteris bat coronavirus HKU4
EF065508	Bat coronavirus HKU4-4	Chiroptera	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Merbecovirus; Tylonycteris bat coronavirus HKU4
EF065509	Bat coronavirus HKU5-1	Chiroptera	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Merbecovirus; Pipistrellus bat coronavirus HKU5
EF065510	Bat coronavirus HKU5-2	Chiroptera	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Merbecovirus; Pipistrellus bat coronavirus HKU5
EF065511	Bat coronavirus HKU5-3	Chiroptera	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Merbecovirus; Pipistrellus bat coronavirus HKU5
EF065512	Bat coronavirus HKU5-5	Chiroptera	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Merbecovirus; Pipistrellus bat coronavirus HKU5
EF065513	Bat coronavirus HKU9-1	Chiroptera	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Nobecovirus; Rousettus bat coronavirus HKU9
EF065514	Bat coronavirus HKU9-2	Chiroptera	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Nobecovirus; Rousettus bat coronavirus HKU9
EF065515	Bat coronavirus HKU9-3	Chiroptera	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Nobecovirus; Rousettus bat coronavirus HKU9
EF065516	Bat coronavirus HKU9-4	Chiroptera	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Nobecovirus; Rousettus bat coronavirus HKU9
EF424615	Bovine coronavirus E-AH65	Bos taurus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Betacoronavirus 1; Bovine coronavirus
EF424616	Bovine coronavirus E-AH65-TC	Bos taurus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Betacoronavirus 1; Bovine coronavirus; Bovine coronavirus E-AH65
EF424617	Bovine coronavirus R-AH65	Bos taurus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Betacoronavirus 1; Bovine coronavirus
EF424618	Bovine coronavirus R-AH65-TC	Bos taurus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Betacoronavirus 1; Bovine coronavirus; Bovine coronavirus R-AH65
EF424619	Bovine coronavirus E-AH187	Bos taurus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Betacoronavirus 1; Bovine coronavirus
EF424620	Bovine coronavirus R-AH187	Bos taurus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Betacoronavirus 1; Bovine coronavirus
EF424621	Sable antelope coronavirus US/OH1/2003	Hippotragus niger	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Betacoronavirus 1; Bovine coronavirus
EF424622	Giraffe coronavirus US/OH3-TC/2006	Giraffa camelopardalis	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Betacoronavirus 1; Bovine coronavirus
EF424623	Giraffe coronavirus US/OH3/2003	Giraffa camelopardalis	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Betacoronavirus 1; Bovine coronavirus
EF424624	Calf-giraffe coronavirus US/OH3/2006	Giraffa camelopardalis	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Betacoronavirus 1; Bovine coronavirus
EF446615	Equine coronavirus	Equus caballus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Betacoronavirus 1
EU371559	SARS coronavirus ZJ02	Homo sapiens	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus
EU371560	SARS coronavirus BJ182a	Homo sapiens	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus
EU371561	SARS coronavirus BJ182b	Homo sapiens	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus
EU371562	SARS coronavirus BJ182-4	Homo sapiens	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus
EU371563	SARS coronavirus BJ182-8	Homo sapiens	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus
EU371564	SARS coronavirus BJ182-12	Homo sapiens	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus
EU420137	Bat coronavirus 1B	Chiroptera	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; unclassified Alphacoronavirus; Bat coronavirus 1A
EU420138	Miniopterus bat coronavirus 1	Miniopterus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Minunacovirus
FJ376620	Bulbul coronavirus HKU11-796	Pycnonotidae	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Deltacoronavirus; Buldecovirus; Bulbul coronavirus HKU11
FJ415324	Human enteric coronavirus 4408	Homo sapiens	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Betacoronavirus 1; Bovine coronavirus
FJ425184	Waterbuck coronavirus US/OH-WD358-TC/1994	Kobus ellipsiprymnus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Betacoronavirus 1; Bovine coronavirus
FJ425185	Waterbuck coronavirus US/OH-WD358-GnC/1994	Kobus ellipsiprymnus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Betacoronavirus 1; Bovine coronavirus
FJ425186	Waterbuck coronavirus US/OH-WD358/1994	Kobus ellipsiprymnus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Betacoronavirus 1; Bovine coronavirus
FJ425187	White-tailed deer coronavirus US/OH-WD470/1994	Odocoileus virginianus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Betacoronavirus 1; Bovine coronavirus
FJ425188	Sambar deer coronavirus US/OH-WD388-TC/1994	Rusa unicolor	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Betacoronavirus 1; Bovine coronavirus
FJ425189	Sambar deer coronavirus US/OH-WD388/1994	Rusa unicolor	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Betacoronavirus 1; Bovine coronavirus
FJ647218	Murine coronavirus RA59/R13	Mus musculus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Murine coronavirus; Murine hepatitis virus
FJ647219	Murine coronavirus RJHM/A	Mus musculus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Murine coronavirus; Murine hepatitis virus
FJ647220	Murine coronavirus RA59/SJHM	Mus musculus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Murine coronavirus; Murine hepatitis virus
FJ647221	Murine coronavirus repA59/RJHM	Mus musculus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Murine coronavirus; Murine hepatitis virus
FJ647222	Murine coronavirus SA59/RJHM	Mus musculus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Murine coronavirus; Murine hepatitis virus
FJ647223	Murine coronavirus MHV-1	Mus musculus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Murine coronavirus; Murine hepatitis virus
FJ647224	Murine coronavirus MHV-3	Mus musculus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Murine coronavirus; Murine hepatitis virus
FJ647225	Murine coronavirus inf-MHV-A59	Mus musculus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Murine coronavirus; Murine hepatitis virus
FJ647226	Murine coronavirus MHV-JHM.IA	Mus musculus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Murine coronavirus; Murine hepatitis virus
FJ647227	Murine coronavirus repJHM/RA59	Mus musculus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Murine coronavirus; Murine hepatitis virus
FJ882935	SARS coronavirus wtic-MB	Chlorocebus aethiops	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus; recombinant SARSr-CoV
FJ882942	SARS coronavirus MA15 ExoN1	Euarchontoglires	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus; recombinant SARSr-CoV
FJ882945	SARS coronavirus MA15	Euarchontoglires	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus; recombinant SARSr-CoV
FJ882954	SARS coronavirus ExoN1	Chlorocebus aethiops	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus; recombinant SARSr-CoV
FJ882963	SARS coronavirus P2	Homo sapiens	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus
FJ884686	Murine hepatitis virus strain A59	Mus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Murine coronavirus; Murine hepatitis virus
FJ938051	Feline coronavirus RM	Felis catus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Tegacovirus; Alphacoronavirus 1; Feline coronavirus
FJ938052	Feline coronavirus UU11	Felis catus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Tegacovirus; Alphacoronavirus 1; Feline coronavirus
FJ938053	Feline coronavirus UU7	Felis catus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Tegacovirus; Alphacoronavirus 1; Feline coronavirus
FJ938054	Feline coronavirus UU4	Felis catus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Tegacovirus; Alphacoronavirus 1; Feline coronavirus
FJ938055	Feline coronavirus UU8	Felis catus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Tegacovirus; Alphacoronavirus 1; Feline coronavirus
FJ938056	Feline coronavirus UU5	Felis catus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Tegacovirus; Alphacoronavirus 1; Feline coronavirus
FJ938057	Feline coronavirus UU15	Felis catus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Tegacovirus; Alphacoronavirus 1; Feline coronavirus
FJ938058	Feline coronavirus UU16	Felis catus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Tegacovirus; Alphacoronavirus 1; Feline coronavirus
FJ938059	Feline coronavirus UU10	Felis catus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Tegacovirus; Alphacoronavirus 1; Feline coronavirus
FJ938060	Feline coronavirus UU2	Felis catus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Tegacovirus; Alphacoronavirus 1; Feline coronavirus
FJ938061	Feline coronavirus UU3	Felis catus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Tegacovirus; Alphacoronavirus 1; Feline coronavirus
FJ938062	Feline coronavirus UU9	Felis catus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Tegacovirus; Alphacoronavirus 1; Feline coronavirus
FJ938063	Bovine coronavirus E-DB2-TC	Bos taurus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Betacoronavirus 1; Bovine coronavirus
FJ938064	Bovine coronavirus E-AH187-TC	Bos taurus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Betacoronavirus 1; Bovine coronavirus; Bovine coronavirus E-AH187
FJ938065	Bovine respiratory coronavirus AH187	Bos taurus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Betacoronavirus 1; Bovine coronavirus
FJ938066	Bovine respiratory coronavirus bovine/US/OH-440-TC/1996	Bos taurus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Betacoronavirus 1; Bovine coronavirus
FJ938067	Human enteric coronavirus strain 4408	Mammalia	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Embecovirus; Betacoronavirus 1; Bovine coronavirus; Human enteric coronavirus 4408
FN430414	Infectious bronchitis virus ITA/90254/2005	Gallus gallus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Gammacoronavirus; Igacovirus; Avian coronavirus; Infectious bronchitis virus
FN430415	Infectious bronchitis virus NGA/A116E7/2006	Gallus gallus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Gammacoronavirus; Igacovirus; Avian coronavirus; Infectious bronchitis virus
GQ153539	Bat SARS coronavirus HKU3-4	Chiroptera	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus; Bat SARS coronavirus HKU3
GQ153540	Bat SARS coronavirus HKU3-5	Chiroptera	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus; Bat SARS coronavirus HKU3
GQ153541	Bat SARS coronavirus HKU3-6	Chiroptera	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus; Bat SARS coronavirus HKU3
GQ153542	Bat SARS coronavirus HKU3-7	Chiroptera	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus; Bat SARS coronavirus HKU3
GQ153543	Bat SARS coronavirus HKU3-8	Chiroptera	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus; Bat SARS coronavirus HKU3
GQ153544	Bat SARS coronavirus HKU3-9	Chiroptera	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus; Bat SARS coronavirus HKU3
GQ153545	Bat SARS coronavirus HKU3-10	Chiroptera	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus; Bat SARS coronavirus HKU3
GQ153546	Bat SARS coronavirus HKU3-11	Chiroptera	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus; Bat SARS coronavirus HKU3
GQ153547	Bat SARS coronavirus HKU3-12	Chiroptera	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus; Bat SARS coronavirus HKU3
GQ153548	Bat SARS coronavirus HKU3-13	Chiroptera	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus; Bat SARS coronavirus HKU3
GU553361	Feline coronavirus UU22	Felis	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Tegacovirus; Alphacoronavirus 1; Feline coronavirus
GU553362	Feline coronavirus UU23	Felis	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Tegacovirus; Alphacoronavirus 1; Feline coronavirus
HM211098	Bat coronavirus HKU9-5-1	Chiroptera	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Nobecovirus; Rousettus bat coronavirus HKU9
HM211099	Bat coronavirus HKU9-5-2	Chiroptera	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Nobecovirus; Rousettus bat coronavirus HKU9
HM211100	Bat coronavirus HKU9-10-1	Chiroptera	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Nobecovirus; Rousettus bat coronavirus HKU9
HM211101	Bat coronavirus HKU9-10-2	Chiroptera	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Nobecovirus; Rousettus bat coronavirus HKU9
HM245926	Mink coronavirus strain WD1133	Neovison vison	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; unclassified Alphacoronavirus; Alphacoronavirus 2
HQ392469	Feline coronavirus UU40	Felis catus	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Tegacovirus; Alphacoronavirus 1; Feline coronavirus
HQ392470	Feline coronavirus UU19	Felis	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Tegacovirus; Alphacoronavirus 1; Feline coronavirus
HQ392471	Feline coronavirus UU20	Felis	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Tegacovirus; Alphacoronavirus 1; Feline coronavirus
HQ392472	Feline coronavirus UU30	Felis	Viruses; Riboviria; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Alphacoronavirus; Tegacovirus; Alphacoronavirus 1; Feline coronavirus
